State,state_code,state_id,year,total_population,land_area,population_density,population_change
Arizona,AZ,4,2019,7050299,113594,62.06576931880205,639320
Arkansas,AR,5,2019,2999370,52035,57.6413952147593,82998
California,CA,6,2019,39283497,155779,252.1745357204758,1958429
Colorado,CO,8,2019,5610349,103642,54.1320024700411,567496
Connecticut,CT,9,2019,3575074,4842,738.3465510119785,2861
Delaware,DE,10,2019,957248,1949,491.1482811698307,57117
Florida,FL,12,2019,20901636,53625,389.7740979020979,2016484
Georgia,GA,13,2019,10403847,57513,180.89557143602315,689278
Hawaii,HI,15,2019,1422094,6423,221.4065078623696,59364
Idaho,ID,16,2019,1717750,82643,20.785184468134023,149947
Illinois,IL,17,2019,12770631,55519,230.0227129451179,-53229
Indiana,IN,18,2019,6665703,35826,186.0576955283872,180173
Iowa,IA,19,2019,3139508,55857,56.20616932524124,91862
Kansas,KS,20,2019,2910652,81759,35.60038650179185,59469
Kentucky,KY,21,2019,4449052,39486,112.67416299447906,108885
Louisiana,LA,22,2019,4664362,43204,107.96134617165077,134757
Maine,ME,23,2019,1335492,30843,43.29967901955063,6408
Maryland,MD,24,2019,6018848,9707,620.0523333676728,233352
Massachusetts,MA,25,2019,6850553,7800,878.2760256410256,289958
Michigan,MI,26,2019,9965265,56539,176.25470913882452,68001
Minnesota,MN,27,2019,5563378,79627,69.86798447762693,250297
Mississippi,MS,28,2019,2984418,46923,63.60245508599194,16798
Missouri,MO,29,2019,6104910,68742,88.80902505018766,122497
Montana,MT,30,2019,1050649,145546,7.2186731342668295,59864
Nebraska,NE,31,2019,1914571,76824,24.92152192023326,87265
Nevada,NV,32,2019,2972382,109781,27.075559523050437,268178
New Hampshire,NH,33,2019,1348124,8953,150.57790684686697,30650
New Jersey,NJ,34,2019,8878503,7354,1207.3025564318739,84615
New Mexico,NM,35,2019,2092454,121298,17.250523504097348,37167
New York,NY,36,2019,19572319,47126,415.318911004541,174194
North Carolina,NC,37,2019,10264876,48618,211.13324283187296,720627
North Dakota,ND,38,2019,756717,69001,10.96675410501297,80464
Ohio,OH,39,2019,11655397,40861,285.2450258192408,121836
Oklahoma,OK,40,2019,3932870,68595,57.334645382316495,183865
Oregon,OR,41,2019,4129803,95988,43.024159269908736,293175
Pennsylvania,PA,42,2019,12791530,44743,285.88896587175645,91941
Rhode Island,RI,44,2019,1057231,1034,1022.4671179883945,4760
South Carolina,SC,45,2019,5020806,30061,167.02059146402314,390455
South Dakota,SD,46,2019,870638,75811,11.484322855522286,54767
Tennessee,TN,47,2019,6709356,41235,162.7102218988723,356130
Texas,TX,48,2019,28260856,261232,108.18297911435046,3051959
Utah,UT,49,2019,3096848,82170,37.688304734087865,330615
Vermont,VT,50,2019,624313,9217,67.73494629488988,-1185
Virginia,VA,51,2019,8454463,39490,214.09123828817422,439508
Washington,WA,53,2019,7404107,66456,111.41367220416517,665393
West Virginia,WV,54,2019,1817305,24038,75.60133954571928,-33176
Wisconsin,WI,55,2019,5790716,54158,106.92263377525019,103497
Wyoming,WY,56,2019,581024,97093,5.9842007147786145,18221
Alabama,AL,1,2018,4864680,50645,96.05449698884391,87354
Alaska,AK,2,2018,738516,570641,1.2941867128369675,27377
Arizona,AZ,4,2018,6946685,113594,61.153626071799565,535706
Arkansas,AR,5,2018,2990671,52035,57.474219275487656,74299
California,CA,6,2018,39148760,155779,251.30961169348885,1823692
Colorado,CO,8,2018,5531141,103642,53.367756315007426,488288
Connecticut,CT,9,2018,3581504,4842,739.6745146633623,9291
Delaware,DE,10,2018,949495,1949,487.17034376603385,49364
Florida,FL,12,2018,20598139,53625,384.1144801864802,1712987
Georgia,GA,13,2018,10297484,57513,179.04619825083026,582915
Hawaii,HI,15,2018,1422029,6423,221.39638798069439,59299
Idaho,ID,16,2018,1687809,82643,20.42289123095725,120006
Illinois,IL,17,2018,12821497,55519,230.93890379869956,-2363
Indiana,IN,18,2018,6637426,35826,185.26840841846703,151896
Iowa,IA,19,2018,3132499,55857,56.08068818590329,84853
Kansas,KS,20,2018,2908776,81759,35.577441015668,57593
Kentucky,KY,21,2018,4440204,39486,112.45008357392494,100037
Louisiana,LA,22,2018,4663616,43204,107.94407925192112,134011
Maine,ME,23,2018,1332813,30843,43.21281976461434,3729
Maryland,MD,24,2018,6003435,9707,618.4645101473163,217939
Massachusetts,MA,25,2018,6830193,7800,875.6657692307692,269598
Michigan,MI,26,2018,9957488,56539,176.11715806788234,60224
Minnesota,MN,27,2018,5527358,79627,69.41562535320934,214277
Mississippi,MS,28,2018,2988762,46923,63.69503228693817,21142
Missouri,MO,29,2018,6090062,68742,88.59302900701172,107649
Montana,MT,30,2018,1041732,145546,7.157407280172592,50947
Nebraska,NE,31,2018,1904760,76824,24.79381443298969,77454
Nevada,NV,32,2018,2922849,109781,26.624361228263542,218645
New Hampshire,NH,33,2018,1343622,8953,150.07505863956214,26148
New Jersey,NJ,34,2018,8881845,7354,1207.7570029915692,87957
New Mexico,NM,35,2018,2092434,121298,17.25035862091708,37147
New York,NY,36,2018,19618453,47126,416.29786105334637,220328
North Carolina,NC,37,2018,10155624,48618,208.8860915710231,611375
North Dakota,ND,38,2018,752201,69001,10.901305778177127,75948
Ohio,OH,39,2018,11641879,40861,284.91419691148036,108318
Oklahoma,OK,40,2018,3918137,68595,57.11986296377287,169132
Oregon,OR,41,2018,4081943,95988,42.52555527774305,245315
Pennsylvania,PA,42,2018,12791181,44743,285.8811657689471,91592
Rhode Island,RI,44,2018,1056611,1034,1021.8675048355899,4140
South Carolina,SC,45,2018,4955925,30061,164.86228003060444,325574
South Dakota,SD,46,2018,864289,75811,11.400575114429305,48418
Tennessee,TN,47,2018,6651089,41235,161.29717473020492,297863
Texas,TX,48,2018,27885195,261232,106.74494319225822,2676298
Utah,UT,49,2018,3045350,82170,37.061579651941095,279117
Vermont,VT,50,2018,624977,9217,67.80698708907454,-521
Virginia,VA,51,2018,8413774,39490,213.06087617118257,398819
Washington,WA,53,2018,7294336,66456,109.76188756470447,555622
